"elementId","source","line","surface","kind","label","ownerComponent","effectiveHandlerEvent","actionType","mappingStatus","mappingConfidence","handlerChain","delegatedCallbacks","usedBySurfaces","routeTargets","apiCalls","resourceOperations","contextResources","prismaModels","contextModels","permissionPolicies","allowedRoles","rowPolicy","scopedRead","loadingState","successState","errorState","confirmationState","browserActions","helperCalls","localMutations","uxStateCandidates"
"route.ceo-commands.form-submit.command","app/(app)/ceo-commands/page.jsx","208","route.ceo-commands","form-submit","COMMAND / * / — / *","CeoCommandsPage","onSubmit","data-action","handler-resolved","high","newIds | payloadFromForm | submit","","","body.destination","POST /api/ceo/v1/command-gateway","","","AuditLog | CeoCommandDelivery | CeoEntityMembership | CeoEntityRegistry | CeoPortalSession | CeoRolloutState","","explicit-rbac","DIRECTOR | HR","false","false","disabled-binding","toast-or-state","handled-candidate","not-required","","","event.preventDefault | submittingRef.current",""
"route.ceo-commands.form-control.select","app/(app)/ceo-commands/page.jsx","211","route.ceo-commands","form-control","—","CeoCommandsPage","form:onSubmit","form-control","handler-resolved","high","newIds | payloadFromForm | submit","","","body.destination","POST /api/ceo/v1/command-gateway","","","AuditLog | CeoCommandDelivery | CeoEntityMembership | CeoEntityRegistry | CeoPortalSession | CeoRolloutState","","explicit-rbac","DIRECTOR | HR","false","false","not-required","not-required","not-required","not-required","","","event.preventDefault | submittingRef.current",""
"route.ceo-commands.form-control.action","app/(app)/ceo-commands/page.jsx","212","route.ceo-commands","form-control","action","CeoCommandsPage","onChange","form-control","classified-local","high","","","","body.destination","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.ceo-commands.form-control.title","app/(app)/ceo-commands/page.jsx","215","route.ceo-commands","form-control","title","CeoCommandsPage","form:onSubmit","form-control","handler-resolved","high","newIds | payloadFromForm | submit","","","body.destination","POST /api/ceo/v1/command-gateway","","","AuditLog | CeoCommandDelivery | CeoEntityMembership | CeoEntityRegistry | CeoPortalSession | CeoRolloutState","","explicit-rbac","DIRECTOR | HR","false","false","not-required","not-required","not-required","not-required","","","event.preventDefault | submittingRef.current",""
"route.ceo-commands.form-control.note","app/(app)/ceo-commands/page.jsx","216","route.ceo-commands","form-control","note","CeoCommandsPage","form:onSubmit","form-control","handler-resolved","high","newIds | payloadFromForm | submit","","","body.destination","POST /api/ceo/v1/command-gateway","","","AuditLog | CeoCommandDelivery | CeoEntityMembership | CeoEntityRegistry | CeoPortalSession | CeoRolloutState","","explicit-rbac","DIRECTOR | HR","false","false","not-required","not-required","not-required","not-required","","","event.preventDefault | submittingRef.current",""
"route.ceo-commands.form-control.assigneeemail","app/(app)/ceo-commands/page.jsx","217","route.ceo-commands","form-control","assigneeEmail","CeoCommandsPage","form:onSubmit","form-control","handler-resolved","high","newIds | payloadFromForm | submit","","","body.destination","POST /api/ceo/v1/command-gateway","","","AuditLog | CeoCommandDelivery | CeoEntityMembership | CeoEntityRegistry | CeoPortalSession | CeoRolloutState","","explicit-rbac","DIRECTOR | HR","false","false","not-required","not-required","not-required","not-required","","","event.preventDefault | submittingRef.current",""
"route.ceo-commands.form-control.projectid","app/(app)/ceo-commands/page.jsx","218","route.ceo-commands","form-control","projectId","CeoCommandsPage","form:onSubmit","form-control","handler-resolved","high","newIds | payloadFromForm | submit","","","body.destination","POST /api/ceo/v1/command-gateway","","","AuditLog | CeoCommandDelivery | CeoEntityMembership | CeoEntityRegistry | CeoPortalSession | CeoRolloutState","","explicit-rbac","DIRECTOR | HR","false","false","not-required","not-required","not-required","not-required","","","event.preventDefault | submittingRef.current",""
"route.ceo-commands.form-control.duedate","app/(app)/ceo-commands/page.jsx","219","route.ceo-commands","form-control","dueDate","CeoCommandsPage","form:onSubmit","form-control","handler-resolved","high","newIds | payloadFromForm | submit","","","body.destination","POST /api/ceo/v1/command-gateway","","","AuditLog | CeoCommandDelivery | CeoEntityMembership | CeoEntityRegistry | CeoPortalSession | CeoRolloutState","","explicit-rbac","DIRECTOR | HR","false","false","not-required","not-required","not-required","not-required","","","event.preventDefault | submittingRef.current",""
"route.ceo-commands.form-control.priority","app/(app)/ceo-commands/page.jsx","220","route.ceo-commands","form-control","priority","CeoCommandsPage","form:onSubmit","form-control","handler-resolved","high","newIds | payloadFromForm | submit","","","body.destination","POST /api/ceo/v1/command-gateway","","","AuditLog | CeoCommandDelivery | CeoEntityMembership | CeoEntityRegistry | CeoPortalSession | CeoRolloutState","","explicit-rbac","DIRECTOR | HR","false","false","not-required","not-required","not-required","not-required","","","event.preventDefault | submittingRef.current",""
"route.ceo-commands.form-control.esthours","app/(app)/ceo-commands/page.jsx","221","route.ceo-commands","form-control","estHours","CeoCommandsPage","form:onSubmit","form-control","handler-resolved","high","newIds | payloadFromForm | submit","","","body.destination","POST /api/ceo/v1/command-gateway","","","AuditLog | CeoCommandDelivery | CeoEntityMembership | CeoEntityRegistry | CeoPortalSession | CeoRolloutState","","explicit-rbac","DIRECTOR | HR","false","false","not-required","not-required","not-required","not-required","","","event.preventDefault | submittingRef.current",""
