"elementId","ownerComponent","callback","source","line","surface","apiCalls","resourceOperations","routeTargets","helperCalls","localState"
"component.components-realm-realmcreateactiondialog.action.huy.2","LeadFollowupDialog","onClose","components/realm/RealmCreateActionDialog.jsx","110","component:realm/RealmCreateActionDialog","","","","",""
"component.components-realm-realmcreateactiondialog.action.lap-diplomatic-follow-up","LeadFollowupDialog","onComplete","components/realm/RealmCreateActionDialog.jsx","110","component:realm/RealmCreateActionDialog","","","","",""
"component.components-realm-realmoffice.action.onemote-emote-id","WorldCanvas","onEmote","components/realm/RealmOffice.jsx","2674","component:realm/RealmOffice","","","","hook:broadcastEmote | import:realmEmote","emoteTimersRef.current.delete | emoteTimersRef.current.set | setActiveEmotes"
"component.components-realm-realmoffice.action.onselect-person","RemoteVideoTile","onSelect","components/realm/RealmOffice.jsx","1097","component:realm/RealmOffice","","","","",""
"component.components-realm-realmoffice.action.tat-mic-bat-mic","MediaDock","onMic","components/realm/RealmOffice.jsx","2694","component:realm/RealmOffice","","","","","mediaRef.current | setMediaRevision | setMicOn | stream | track | track.enabled | videoRef.current.srcObject"
"component.components-realm-realmoffice.action.tat-camera-camera","MediaDock","onCamera","components/realm/RealmOffice.jsx","2694","component:realm/RealmOffice","","","","","mediaRef.current | setCameraOn | setMediaRevision | stream | track | track.enabled | videoRef.current.srcObject"
"component.components-realm-realmoffice.action.dung-chia-se-chia-se","MediaDock","onShare","components/realm/RealmOffice.jsx","2694","component:realm/RealmOffice","","","","","screenRef.current | setMediaRevision | setSharing | stream.getVideoTracks()[0].onended"
"component.components-realm-realmoffice.action.ang-kiem-tra-thu-ong-bo","SyncIntegrityCard","onRefresh","components/realm/RealmOffice.jsx","2901","component:realm/RealmOffice","","","","",""
"component.components-realm-realmoffice.action.ang-kiem-tra-thu-ong-bo","SyncIntegrityCard","onRefresh","components/realm/RealmOffice.jsx","3078","component:realm/RealmOffice","","","","",""
"component.components-realm-realmoffice.action.copy-ma","SyncIntegrityCard","onCopySupportId","components/realm/RealmOffice.jsx","2901","component:realm/RealmOffice","","","","",""
"component.components-realm-realmoffice.action.copy-ma","SyncIntegrityCard","onCopySupportId","components/realm/RealmOffice.jsx","3078","component:realm/RealmOffice","","","","",""
"component.components-realm-realmoffice.action.onledgerviewchange-tab-key-if-tab-key-guild-setwarroomcampaign-n","LedgerMode","onLedgerViewChange","components/realm/RealmOffice.jsx","2715","component:realm/RealmOffice","","","","",""
"component.components-realm-realmoffice.action.cap-nhat-1","LedgerMode","onAdvanceQuest","components/realm/RealmOffice.jsx","2715","component:realm/RealmOffice","","","quest.links?.task || realmRecordHref('task', quest.businessRef)","import:advanceRealmQuest | import:realmRecordHref","setOperations"
"component.components-realm-realmoffice.action.ang-ghi-ghi-nhan-gold","LedgerMode","onClaimQuest","components/realm/RealmOffice.jsx","2715","component:realm/RealmOffice","POST /api/realm-demo/operations","","","import:claimRealmQuest | import:createRealmErpBridge | import:createRealmOperations | import:normalizeProfile","operationsSyncEtagRef.current | responseError.code | setBusinessBridge | setOperations | setOperationsReady | setOperationsSource | setOperationsSyncMeta | setOperationsSyncState | setProfile | setProfileDraft | writeError.code | writeError.outcome"
