"route","source","dynamic","auth","inNavigation","navLabel","navSection","roles","module","resourceCandidates","apiCandidates","routeCandidates","mappingStatus"
"/invoices","app/(app)/invoices/page.jsx","false","authenticated","true","Hóa đơn","Tài chính","DIRECTOR | ACCOUNTANT | AM","","clients | invoices | projects | services","POST `/api/invoices/${inv.id}/pay` | GET `/api/invoices/from-hours?projectId=${projectId}` | POST '/api/invoices/from-hours'","","unreviewed"
"/leads","app/(app)/leads/page.jsx","false","authenticated","true","Khách tiềm năng","CRM — Bán hàng","DIRECTOR | AM","sales","clients | leads | users","GET '/api/settings' | GET '/api/leads/workload'","","unreviewed"
"/live","app/(app)/live/page.jsx","false","authenticated","true","Ca live","Livestream","DIRECTOR | LEAD | ACCOUNTANT | AM | PM","livestream","clients | livesessions | users","POST `/api/livesessions/${s.id}/settle` | POST `/api/livesessions/${recon.id}/reconcile`","","unreviewed"
"/login","app/login/page.jsx","false","public","false","","","","","","POST '/api/ceo/v1/identity/recover' | GET '/api/realm-demo/pilot'","'/ceo-registry' | destination","unreviewed"
"/markets","app/(app)/markets/page.jsx","false","authenticated","true","Tra cứu thị trường","Xuất nhập khẩu","DIRECTOR | PM | ACCOUNTANT | AM","export","shipments","","","unreviewed"
"/messages","app/(app)/messages/page.jsx","false","authenticated","true","Tin nhắn","Tổng quan","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","","","POST '/api/chat' | GET '/api/chat' | GET `/api/chat/${id}` | GET '/api/ceo/v1/directory/profile' | GET url | POST `/api/chat/${sel}` | PUT '/api/ceo/v1/directory/profile' | PUT '/api/ceo/v1/directory/profile'","","unreviewed"
"/myday","app/(app)/myday/page.jsx","false","authenticated","true","Việc của tôi","Tổng quan","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","","","GET '/api/execution/my-work' | GET '/api/approvals' | POST '/api/execution/actions' | POST '/api/execution/actions'","","unreviewed"
"/okr","app/(app)/okr/page.jsx","false","authenticated","true","KPI / OKR","Công ty","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","","okrs | users","","","unreviewed"
"/payroll","app/(app)/payroll/page.jsx","false","authenticated","true","Bảng lương","Nhân sự","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","","","GET '/api/payroll' | POST '/api/payroll' | PUT '/api/payroll' | PUT '/api/payroll' | POST `/api/payroll/${cur.id}/finalize`","","unreviewed"
"/portfolio","app/(app)/portfolio/page.jsx","false","authenticated","true","Sở chỉ huy DA","Vận hành","DIRECTOR | PM | LEAD | ACCOUNTANT","delivery","clients | projects | tasks | users","GET '/api/projects/stats'","","unreviewed"
"/projects","app/(app)/projects/page.jsx","false","authenticated","true","Dự án","Vận hành","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","delivery","clients | projects | projecttemplates","GET '/api/projects/stats' | POST '/api/data/phases' | POST '/api/data/tasks' | POST '/api/data/milestones'","","unreviewed"
"/projects/[id]","app/(app)/projects/[id]/page.jsx","true","authenticated","true","Dự án","Vận hành","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","delivery","milestones | phases | projects | tasks | users","GET `/api/projects/${encodeURIComponent(id)}/execution-health`","","unreviewed"
"/quotes","app/(app)/quotes/page.jsx","false","authenticated","true","Báo giá","CRM — Bán hàng","DIRECTOR | AM | PM | ACCOUNTANT","sales","clients | invoices | projects | quotes | services","POST `/api/quotes/${q.id}/convert`","","unreviewed"
"/realm","app/(app)/realm/page.jsx","false","authenticated","true","Văn phòng Realm","Realm — Trải nghiệm","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","","","","","unreviewed"
"/realm-demo","app/realm-demo/page.jsx","false","public","false","","","","","","","","unreviewed"
"/recruitment","app/(app)/recruitment/page.jsx","false","authenticated","true","Tuyển dụng","Nhân sự","DIRECTOR | HR","recruitment","candidates | onboardings","","","unreviewed"
"/reports","app/(app)/reports/page.jsx","false","authenticated","true","Báo cáo","Công ty","DIRECTOR | ACCOUNTANT | PM","","clients | invoices | leads | projects | timelogs | transactions | users","GET '/api/settings' | GET '/api/insights'","","unreviewed"
"/resources","app/(app)/resources/page.jsx","false","authenticated","true","Nguồn lực","Vận hành","DIRECTOR | PM | HR | LEAD","delivery","leaves | projects | tasks | timelogs | users","","","unreviewed"
"/reviews","app/(app)/reviews/page.jsx","false","authenticated","true","Đánh giá hiệu suất","Nhân sự","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","reviews","reviews | users","","","unreviewed"
"/services","app/(app)/services/page.jsx","false","authenticated","true","Bảng giá dịch vụ","CRM — Bán hàng","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","services","services","","","unreviewed"
"/settings","app/(app)/settings/page.jsx","false","authenticated","true","Cài đặt","Công ty","DIRECTOR","","webhooks","GET '/api/apikeys' | POST '/api/apikeys' | PUT '/api/apikeys' | DELETE '/api/apikeys' | GET '/api/settings' | PUT '/api/settings' | POST '/api/import' | PUT '/api/settings' | POST '/api/email/send'","","unreviewed"
"/shipments","app/(app)/shipments/page.jsx","false","authenticated","true","Lô hàng xuất","Xuất nhập khẩu","DIRECTOR | PM | ACCOUNTANT | AM","export","areacodes | clients | growingareas | shipmentdocs | shipments | stocklots | stockmoves","POST `/api/shipments/${s.id}/pay`","","unreviewed"
"/staff","app/(app)/staff/page.jsx","false","authenticated","true","Hồ sơ & nhóm","Nhân sự","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","","leaves | teams | users","GET '/api/settings' | method '/api/users'","","unreviewed"
"/staff/[id]","app/(app)/staff/[id]/page.jsx","true","authenticated","true","Hồ sơ & nhóm","Nhân sự","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","","assets | attendance | leaves | okr | reviews | tasks | teams | timelogs | users","GET '/api/settings'","","unreviewed"
"/tasks","app/(app)/tasks/page.jsx","false","authenticated","true","Công việc","Vận hành","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","tasks","phases | projects | taskcomments | taskevents | tasks | timelogs | users","","","unreviewed"
"/teamwork","app/(app)/teamwork/page.jsx","false","authenticated","true","Điều phối công việc","Vận hành","DIRECTOR | PM | LEAD","tasks","","GET '/api/execution/team-work' | POST '/api/execution/actions'","","unreviewed"
"/templates","app/(app)/templates/page.jsx","false","authenticated","true","Mẫu dự án","Vận hành","DIRECTOR | PM | LEAD","delivery","projecttemplates","","","unreviewed"
"/tickets","app/(app)/tickets/page.jsx","false","authenticated","true","Ticket hỗ trợ","CRM — Bán hàng","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","support","clients | csat | tickets | users","","","unreviewed"
"/timesheet","app/(app)/timesheet/page.jsx","false","authenticated","true","Chấm công giờ","Vận hành","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","delivery","projects | timelogs | users","","","unreviewed"
"/vendors","app/(app)/vendors/page.jsx","false","authenticated","true","Mua hàng / NCC","Tài chính","DIRECTOR | ACCOUNTANT | PM","procurement","projects | rfqs | vendorbills | vendors","POST `/api/vendorbills/${b.id}/pay`","","unreviewed"
"/violations","app/(app)/violations/page.jsx","false","authenticated","true","Điểm vi phạm","Livestream","DIRECTOR | LEAD | ACCOUNTANT | PM","livestream","violations","","","unreviewed"
