elementId,source,line,label,actionType,loadingState,successState,errorState,confirmationState,status
component.components-realm-realmpilotrehearsal.action.luu,components/realm/RealmPilotRehearsal.jsx,159,Lưu,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
component.components-realm-realmpilotrehearsal.action.gui-director-niem-phong,components/realm/RealmPilotRehearsal.jsx,170,Gửi Director niêm phong,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
component.components-realm-realmpilotrehearsal.action.tra-ve-maker,components/realm/RealmPilotRehearsal.jsx,173,Trả về maker,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
component.components-realm-realmpilotrehearsal.action.niem-phong-24-gio,components/realm/RealmPilotRehearsal.jsx,174,Niêm phong 24 giờ,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
component.components-realm-realmpilotrehearsal.action.tao-ban-nhap,components/realm/RealmPilotRehearsal.jsx,189,Tạo bản nháp,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
component.components-realm-rewardcontrolcenter.action.ang-gui-gui-duyet,components/realm/RewardControlCenter.jsx,253,Đang gửi… / Gửi duyệt,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
component.components-realm-rewardcontrolcenter.action.ang-duyet-phe-duyet-budget,components/realm/RewardControlCenter.jsx,254,Đang duyệt… / Phê duyệt budget,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
component.components-realm-rewardcontrolcenter.form-submit.checker-review-cau-hinh-han-muc-truoc-khi-reward-uoc-phe-duyet-t,components/realm/RewardControlCenter.jsx,271,Checker review / Cấu hình hạn mức trước khi reward được phê duyệt / Trần Gold toàn công ty / Trần Gold mỗi nhân sự / Lý do và phạm vi budget / Trần mỗi nhân sự không được lớn hơn t,data-action,local-state,toast-or-state,handled-candidate,not-required,verified
component.components-realm-rewardcontrolcenter.action.ang-luu-luu-budget-draft,components/realm/RewardControlCenter.jsx,288,Đang lưu… / Lưu budget draft,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
component.components-realm-rewardcontrolcenter.action.ang-luu-luu-ban-nhap,components/realm/RewardControlCenter.jsx,298,Đang lưu… / Lưu bản nháp,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
component.components-realm-rewardcontrolcenter.action.ang-gui,components/realm/RewardControlCenter.jsx,303,Đang gửi…,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
component.components-realm-rewardcontrolcenter.action.ang-gui-gui-duyet.2,components/realm/RewardControlCenter.jsx,337,Đang gửi… / Gửi duyệt,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
component.components-realm-rewardcontrolcenter.action.ang-duyet-phe-duyet,components/realm/RewardControlCenter.jsx,338,Đang duyệt… / Phê duyệt,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
